Artist,Genre,Start,End
"Bad Bunny","hip hop",23:25,24:00:00
"Maceo Plex","edm",23:15,24:00:00
"Metro Boomin","rap",22:35,24:00:00
"FKJ","edm",22:35,24:00:00
"Ashnikko","pop",22:35,24:00:00
"The Chemical Brothers","edm",21:50,24:00:00
"Testpilot","edm",21:45,23:15
"Uncle Waffles","edm",21:30,
"Whyte Fang","edm",21:25,22:15
"Two Friends","pop",21:20,22:05
"Ang�le","indie",21:10,22:05
"Gorillaz","indie",20:35,21:50
"The Garden","indie",20:15,21:00
"Mochakk","hip hop",20:15,21:45
"Jamie Jones","country",20:05,20:55
"Sasha Alex Sloan","pop",19:40,20:20
"Blondie","rock",19:35,20:35
"Kaytranada","edm",19:30,20:30
"Burna Boy","hip hop",19:05,19:55
"Yves Tumor","indie",19:05,19:50
"Blink-182","rock",18:45,19:35
"Idris Elba","edm",18:45,20:15
"SG Lewis","edm",18:10,19:00
"Wet Leg","indie",18:00,18:45
"TV Girl","indie",17:55,18:40
"Tobe Nwigwe","hip hop",17:45,18:35
"Becky G","hip hop",17:45,18:30
"Nora En Pure","edm",17:30,18:45
"Vintage Culture","edm",17:20,18:15
"Yungblud","indie",16:55,17:40
"Muna","indie",16:50,17:35
"Magdalena Bay","pop",16:50,17:35
"Pusha T","rap",16:30,17:15
"Overmono","edm",16:25,17:15
"Malaa","edm",16:15,17:10
"Dennis Cruz + Paw$a","edm",16:15,17:30
"Benee","pop",15:45,16:25
"Saba","rap",15:45,16:25
"DannyLux","hip hop",15:40,16:20
Doechii","rap",15:30,16:10
"Gabriels","hip hop",15:20,16:05
"Dombresky","r&b",15:10,16:05
"Oliver Koletzki","edm",15:00,16:15
"Soul Glo","indie",14:55,15:25
"Record Safari","hip hop",14:50,15:25
"Domi & JD Beck","r&b",14:40,15:20
"The Comet Is Coming","edm",14:30,15:15
"�T�o?","pop",14:20,14:55
"Lava La Rue","indie",14:00,14:35
"Kyle Watson","edm",14:00,15:00
"Mary Jane","r&b",13:45,15:00
"Lewis OfMan","edm",13:40,14:15
"Jupiter & Okwess","r&b",13:20,14:00
"The Murder Capital","indie",13:10,13:40
"Chris Stussy","r&b",13:00,14:00
"Juicewon","rock",13:00,14:20
"Black Jade","hip hop",12:30,1:30
"Juliet Mendoza","edm",12:00,1:00
"Jim Smith","rock",12:00,1:10